ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length
1,Location 1 - Location 10,1,10,1,18489.904689089118619
2,Location 1 - Location 2,1,2,2,23507.900975602366088
3,Location 1 - Location 8,1,8,3,30310.401072091608512
4,Location 1 - Location 9,1,9,4,36326.686488303763326
5,Location 1 - Location 3,1,3,5,47785.078033413388766
6,Location 1 - Location 4,1,4,6,55190.784552762830572
7,Location 1 - Location 6,1,6,7,76385.395382889662869
8,Location 1 - Location 5,1,5,8,89778.974406137145706
9,Location 1 - Location 7,1,7,9,107075.113169932650635
10,Location 1 - Location 1,1,1,10,108574.422588186163921
11,Location 2 - Location 3,2,3,1,22971.149071722080407
12,Location 2 - Location 8,2,8,2,28091.702251946167962
13,Location 2 - Location 9,2,9,3,33534.414407459502399
14,Location 2 - Location 10,2,10,4,38700.163739258256101
15,Location 2 - Location 2,2,2,5,43509.094812462462869
16,Location 2 - Location 4,2,4,6,59127.680275040853303
17,Location 2 - Location 6,2,6,7,73865.825544033883489
18,Location 2 - Location 5,2,5,8,77826.222369614406489
19,Location 2 - Location 1,2,1,9,98969.779646728537045
20,Location 2 - Location 7,2,7,10,105927.702913107204949
21,Location 3 - Location 1,3,1,1,15805.201508230462423
22,Location 3 - Location 5,3,5,2,25336.026987324556103
23,Location 3 - Location 6,3,6,3,25714.726840920404356
24,Location 3 - Location 7,3,7,4,38438.694758064346388
25,Location 3 - Location 4,3,4,5,40695.511879464240337
26,Location 3 - Location 2,3,2,6,72378.395456624668441
27,Location 3 - Location 3,3,3,7,77000.931388159646303
28,Location 3 - Location 10,3,10,8,99533.611888636005460
29,Location 3 - Location 8,3,8,9,107196.017793496110244
30,Location 3 - Location 9,3,9,10,112638.729949009430129
31,Location 4 - Location 7,4,7,1,27976.716402069854666
32,Location 4 - Location 1,4,1,2,34442.847908519404882
33,Location 4 - Location 6,4,6,3,53202.710941713565262
34,Location 4 - Location 5,4,5,4,57457.541891930042766
35,Location 4 - Location 4,4,4,5,76412.037616015470121
36,Location 4 - Location 2,4,2,6,103658.502462967400788
37,Location 4 - Location 3,4,3,7,116924.272793733296567
38,Location 4 - Location 10,4,10,8,130813.718894978737808
39,Location 4 - Location 8,4,8,9,142912.543530047434615
40,Location 4 - Location 9,4,9,10,148355.255685560783604
41,Location 5 - Location 7,5,7,1,18000.520534970335575
42,Location 5 - Location 1,5,1,2,50231.749136693659239
43,Location 5 - Location 6,5,6,3,54390.767908128073032
44,Location 5 - Location 4,5,4,4,71359.102858312762692
45,Location 5 - Location 5,5,5,5,76908.892253028476262
46,Location 5 - Location 2,5,2,6,96928.128440453132498
47,Location 5 - Location 3,5,3,7,118977.872651589670568
48,Location 5 - Location 10,5,10,8,124083.344872464469518
49,Location 5 - Location 8,5,8,9,144966.143387903837720
50,Location 5 - Location 9,5,9,10,150408.855543417186709
51,Location 6 - Location 5,6,5,1,18107.301851492265996
52,Location 6 - Location 1,6,1,2,24793.647210663955775
53,Location 6 - Location 6,6,6,3,29982.845153315407515
54,Location 6 - Location 4,6,4,4,38488.957712136914779
55,Location 6 - Location 7,6,7,5,46699.278153087441751
56,Location 6 - Location 3,6,3,6,68348.589440694486257
57,Location 6 - Location 2,6,2,7,69582.853808982574265
58,Location 6 - Location 10,6,10,8,96465.745745840264135
59,Location 6 - Location 8,6,8,9,100767.651693722582422
60,Location 6 - Location 9,6,9,10,106113.700977881147992
61,Location 7 - Location 10,7,10,1,9726.204293188999145
62,Location 7 - Location 2,7,2,2,36881.420725200288871
63,Location 7 - Location 8,7,8,3,48087.204468394491414
64,Location 7 - Location 9,7,9,4,54103.489884606649866
65,Location 7 - Location 3,7,3,5,66573.586855474102776
66,Location 7 - Location 4,7,4,6,68564.304302360789734
67,Location 7 - Location 6,7,6,7,89758.915132487614756
68,Location 7 - Location 5,7,5,8,110636.701091212176834
69,Location 7 - Location 7,7,7,9,120448.632919530602521
70,Location 7 - Location 1,7,1,10,123838.125386453350075
