# ID,loc_ID,community_ID,tech_type,capacity (MWh),IRR_min,co-oper
0,10,2,7,35000,0.15,0
1,11,2,7,35000,0.15,0
2,12,2,7,35000,0.15,0
3,13,2,7,35000,0.15,0
4,14,2,7,35000,0.15,0
5,15,2,7,35000,0.15,0
6,16,1,7,35000,0.15,0
7,17,1,7,35000,0.15,0
8,18,1,7,35000,0.15,0
9,19,1,7,35000,0.15,0
10,20,1,7,35000,0.15,0
11,21,1,7,35000,0.15,0
12,22,3,7,35000,0.15,0
13,23,3,7,35000,0.15,0
14,24,3,7,35000,0.15,0
15,25,3,7,35000,0.15,0
16,26,3,7,35000,0.15,0
17,27,3,7,35000,0.15,0
18,28,1,7,35000,0.15,0
19,29,1,7,35000,0.15,0
20,30,1,7,35000,0.15,0
21,31,1,7,35000,0.15,0
22,32,1,7,35000,0.15,0
23,33,1,7,35000,0.15,0
24,34,2,7,35000,0.15,0
25,35,2,7,35000,0.15,0
26,36,2,7,35000,0.15,0
27,37,2,7,35000,0.15,0
28,38,2,7,35000,0.15,0
29,39,2,7,35000,0.15,0
30,40,2,7,35000,0.15,0
31,41,2,7,35000,0.15,0
32,42,2,7,35000,0.15,0
33,43,2,7,35000,0.15,0
34,44,2,7,35000,0.15,0
35,45,2,7,35000,0.15,0
36,46,1,7,35000,0.15,0
37,47,1,7,35000,0.15,0
38,48,1,7,35000,0.15,0
39,49,1,7,35000,0.15,0
40,50,1,7,35000,0.15,0
41,51,1,7,35000,0.15,0
42,52,3,7,35000,0.15,0
43,53,3,7,35000,0.15,0
44,54,3,7,35000,0.15,0
45,55,3,7,35000,0.15,0
46,56,3,7,35000,0.15,0
47,57,3,7,35000,0.15,0
48,58,3,7,35000,0.15,0
49,59,3,7,35000,0.15,0
