# ID,time_preference,risk_aversion,info_use,benefit,concern,lql,loss_aversion,learning_rate,price_update_rate,flood_risk_updating_risk,community_ID,eco_of_scale_factor,type,sen_commu
0,0.021553582,0.847869279,1,3,2,1,2.141174908,1.06E-05,0.532259895,0.866129947,3,0.966139342,1,0.594256518
1,0.088129105,0.890794404,2,2,2,2,1.724489794,1.83E-05,0.459170746,0.829585373,0,0.929194927,2,0.641456794
2,0.027367452,0.908340014,3,3,3,2,1.586494273,3.13E-06,0.73523612,0.96761806,2,1.192721099,4,0.397171603
3,0.032143677,0.88407993,2,2,3,2,1.990640979,6.57E-06,0.342210278,0.771105139,2,1.246006804,3,0.369891561
4,0.092998822,0.862576161,2,2,2,1,2.700294508,4.36E-06,0.421800447,0.810900224,3,0.85226037,2,0.20012305
5,0.052819445,0.917751663,2,3,3,2,1.937196356,1.28E-05,0.611783027,0.905891513,2,0.997601645,4,0.595577783
6,0.064534602,0.846926322,1,2,2,2,2.494124062,8.48E-06,0.371237591,0.785618796,3,1.153005516,2,0.381349901
7,0.024768233,0.883417789,2,2,3,3,2.578768732,7.99E-06,0.28952658,0.74476329,0,1.082329517,4,0.501842065
8,0.071286996,0.855212238,1,3,3,2,2.300344849,1.09E-05,0.212233968,0.706116984,0,1.052966506,1,0.509502303
9,0.085525773,0.840192069,3,3,3,1,2.148690976,1.33E-05,0.75032265,0.975161325,1,0.924542815,4,0.268090882
10,0.083108292,0.884059057,2,3,3,1,2.197097611,1.12E-05,0.34774513,0.773872565,2,1.164703966,2,0.460348077
11,0.086413806,0.915896933,1,2,3,1,2.421055374,7.85E-06,0.219358752,0.709679376,2,1.247664352,3,0.367380517
12,0.071252266,0.885918208,1,2,3,1,2.041463503,1.09E-05,0.787382829,0.993691415,3,0.965227128,2,0.491093989
13,0.06929152,0.910283062,2,3,2,2,2.909886804,7.93E-06,0.483505061,0.841752531,2,0.76473099,1,0.542961541
14,0.06547794,0.877525837,1,3,3,3,2.238572223,1.77E-05,0.384739737,0.792369868,1,1.061071292,2,0.418594417
15,0.040220437,0.915626867,3,2,2,3,2.371076319,1.08E-05,0.436055884,0.818027942,1,1.100189808,2,0.631410111
16,0.050268264,0.880840366,2,3,2,2,2.569399289,1.85E-05,0.30946928,0.75473464,3,0.957343711,4,0.26393371
17,0.08643913,0.902051843,3,3,3,2,3.263114953,5.35E-06,0.488262672,0.844131336,2,0.948771141,4,0.300383008
18,0.072825859,0.882724825,1,3,3,1,2.486779024,1.28E-05,0.595199724,0.897599862,1,1.002168982,1,0.252741044
19,0.046259883,0.892542206,3,2,2,1,1.777898695,6.95E-06,0.772533387,0.986266693,3,1.171803494,2,0.450580138
20,0.083072269,0.842106,2,2,2,1,2.927017588,1.09E-05,0.597860793,0.898930396,3,1.222340802,2,0.569177533
21,0.064319962,0.872452701,3,3,2,3,3.366614234,1.28E-05,0.57616079,0.888080395,0,1.124878896,2,0.234630973
22,0.039868272,0.90359385,3,2,2,1,3.165967233,1.54E-05,0.438332216,0.819166108,0,1.025953632,2,0.360520684
23,0.025855473,0.884325931,2,3,2,3,2.787595881,9.47E-06,0.235134474,0.717567237,2,1.07899489,1,0.21003961
24,0.027398233,0.912541661,3,3,3,1,1.511875909,6.75E-06,0.407629909,0.803814954,2,0.899054274,2,0.496461454
25,0.046711169,0.871531509,1,3,3,3,2.543097229,1.18E-05,0.372701455,0.786350727,1,0.774672161,3,0.634747458
26,0.063158699,0.872613433,1,3,3,1,2.551355959,7.20E-06,0.492021659,0.84601083,1,1.198617601,4,0.234802231
27,0.055189558,0.899053565,1,2,3,1,2.116276323,1.92E-05,0.210058668,0.705029334,2,1.128526433,2,0.657150845
28,0.072222389,0.853653933,1,3,3,2,3.482985913,6.63E-06,0.596710218,0.898355109,2,0.819409551,1,0.232444922
29,0.053539995,0.900088096,2,2,2,2,2.853208621,4.14E-06,0.781151372,0.990575686,3,0.903015496,2,0.384671299
30,0.066505406,0.87908563,3,3,3,2,2.492011674,5.49E-06,0.455768531,0.827884266,1,0.984005667,4,0.506926814
31,0.058583177,0.875453401,1,3,3,2,2.300940385,9.45E-06,0.392874876,0.796437438,2,0.963218724,1,0.651494759
32,0.078029085,0.879535188,2,3,3,2,2.187641954,1.19E-05,0.359549776,0.779774888,1,0.756567587,2,0.612671666
