patch_ID,corn,soy,mis,swi,sorghum,cane,fallow,CRP
1,9.51665455869498,8.12296396489,3.28739349815926,3.28739349815926,3.28739349815926,3.28739349815926,7.68982947550824,7.68982947550824
2,19.0385929058804,14.4614070941196,5.79,5.79,5.79,5.79,6.82703547059825,6.82703547059825
3,22.46,15.54,0.46,0.46,0.46,0.46,6.75,6.75
4,15.62,13.61,1.38,1.38,1.38,1.38,3.99,3.99
5,7.73,6.76,4.86,4.86,4.86,4.86,6.51,6.51
6,14.17,10.71,8.42,8.42,8.42,8.42,6.98,6.98
7,33.7354010017823,18.8072994991088,1.77432487477721,1.77432487477721,1.77432487477721,1.77432487477721,5.3267512522279,5.3267512522279
8,19.9746983779607,13.2454369506553,1.17992426916537,1.17992426916537,1.17992426916537,1.17992426916537,4.34059450249682,4.34059450249682
9,17.9619579581943,12.2640121986454,9.14230294817495,9.14230294817495,9.14230294817495,9.14230294817495,7.6423383405298,7.6423383405298
10,3.35329792178866,20.0518353688961,3.85355682798554,3.85355682798554,3.85355682798554,3.85355682798554,4.82136752657172,4.82136752657172
11,13.774013374889,12.6915637537347,2.22112217815775,2.22112217815775,2.22112217815775,2.22112217815775,5.22200452714833,5.22200452714833
12,17.25,7.33,0,0,0,0,5.83,5.83
13,23.6661970640547,16.4340494266498,2.36185261961293,2.36185261961293,2.36185261961293,2.36185261961293,6.40364409845811,6.40364409845811
14,23.71,15.5,1.27,1.27,1.27,1.27,5.15,5.15
15,21.79,13.57,0.46,0.46,0.46,0.46,6.75,6.75
16,17.28,7.34,0,0,0,0,5.64080191213939,5.64080191213939
17,13.23,10.04,8.39,8.39,8.39,8.39,7.01,7.01
18,28.43086433949,17.8378528502953,1.71548961571816,1.71548961571816,1.71548961571816,1.71548961571816,5.13012859096658,5.13012859096658
19,34.6555222417783,19.4918513282582,1.92794277588312,1.92794277588312,1.92794277588312,1.92794277588312,7.73523742204627,7.73523742204627
20,24.8384204251386,17.0184000007595,3.83866004715058,3.83866004715058,3.83866004715058,3.83866004715058,5.81886719310949,5.81886719310949
21,0.68,10.68,11.38,11.38,11.38,11.38,5.09,5.09
22,28.1087432488173,17.0747286269836,6.53788960464708,6.53788960464708,6.53788960464708,6.53788960464708,6.51115202191749,6.51115202191749
23,6.13,22.82,0.28,0.28,0.28,0.28,6.89,6.89
24,20.35,14.89,2.99,2.99,2.99,2.99,6.73,6.73
25,18.164212732629,10.4085662087963,1.45165119450382,1.45165119450382,1.45165119450382,1.45165119450382,6.07,6.07
26,16.5015182083721,19.5267633249546,1.74712699431088,1.74712699431088,1.74712699431088,1.74712699431088,6.83960141648956,6.83960141648956
27,22.47,15.56,0.57,0.57,0.57,0.57,6.82,6.82
28,22.4609292983625,15.541858596725,0.470222281987408,0.470222281987408,0.470222281987408,0.470222281987408,6.75650508853744,6.75650508853744
29,13.0245563165048,12.4921159225623,3.66685720289953,3.66685720289953,3.66685720289953,3.66685720289953,5.63209439991741,5.63209439991741
30,18.85,12.12,14.61,14.61,14.61,14.61,9.66,9.66
31,25.38,17.33,3.87,3.87,3.87,3.87,5.73,5.73
32,28.47,17.87,1.77,1.77,1.77,1.77,5.33,5.33
33,18.9282818100442,21.1918207113391,2.89150322850586,2.89150322850586,2.89150322850586,2.89150322850586,7.3588563234574,7.3588563234574
34,20.638698115704,14.6253600606047,2.48277344949234,2.48277344949234,2.48277344949234,2.48277344949234,6.73400969605144,6.73400969605144
35,17.2601400881775,7.37374427495504,0.0103693344913915,0.0103693344913915,0.0103693344913915,0.0103693344913915,5.88427158568815,5.88427158568815
36,22.4673824066663,15.5547648133327,0.54120647332959,0.54120647332959,0.54120647332959,0.54120647332959,6.80167684666428,6.80167684666428
37,8.33129693029039,10.7473784910839,2.9798378837137,2.9798378837137,2.9798378837137,2.9798378837137,8.10818404601175,8.10818404601175
38,23.2460581747607,13.87563412065,1.1322191755258,1.1322191755258,1.1322191755258,1.1322191755258,5.30982078126198,5.30982078126198
39,6.6,6.78,4.89,4.89,4.89,4.89,6.54,6.54
40,13.52,9.54,4.95,4.95,4.95,4.95,6.52,6.52
41,21.7483272197619,13.6082000485516,0.533216759723832,0.533216759723832,0.533216759723832,0.533216759723832,6.74942121138558,6.74942121138558
42,7.73,6.76,4.86,4.86,4.86,4.86,6.51,6.51
43,26.7834599766477,17.414696404608,12.5748945369628,12.5748945369628,12.5748945369628,12.5748945369628,9.16702664421117,9.16702664421117
44,28.7069349542092,17.0648957056744,3.33444710038307,3.33444710038307,3.33444710038307,3.33444710038307,6.38896585906711,6.38896585906711
45,22.1871494083158,14.7377378125106,0.46,0.46,0.46,0.46,6.75,6.75
46,15.8668439911365,9.74111463452913,0.737842517902181,0.737842517902181,0.737842517902181,0.737842517902181,5.64822109582866,5.64822109582866
47,7.73,6.76,4.86,4.86,4.86,4.86,6.51,6.51
48,22.47,15.56,0.57,0.57,0.57,0.57,6.82,6.82
49,17.28,7.26,0.01,0.01,0.01,0.01,6.07,6.07
50,20.34,14.96,1.27,1.27,1.27,1.27,5.13,5.13
51,1.04867743789783,17.742797870861,13.4487367721983,13.4487367721983,13.4487367721983,13.4487367721983,4.53010582241339,4.53010582241339
52,19.4983708812612,15.1593293554473,3.62690904553449,3.62690904553449,3.62690904553449,3.62690904553449,6.07,6.07
53,33.4820710979686,19.3438588737341,10.5058688575452,10.5058688575452,10.5058688575452,10.5058688575452,8.08788002461681,8.08788002461681
54,13.3047341964865,10.0932679911127,8.39238513393042,8.39238513393042,8.39238513393042,8.39238513393042,7.00761486606958,7.00761486606958
55,17.2075050661254,13.9916117947417,1.38,1.38,1.38,1.38,4.04596972989545,4.04596972989545
56,22.0445281933657,15.3080939272474,3.9546209594573,3.9546209594573,3.9546209594573,3.9546209594573,6.06910180214732,6.06910180214732
57,21.79,13.57,0.46,0.46,0.46,0.46,6.75,6.75
58,11.821473445441,11.3009394947378,5.69447397373706,5.69447397373706,5.69447397373706,5.69447397373706,7.6662306473163,7.6662306473163
59,28.47,17.87,1.77,1.77,1.77,1.77,5.33,5.33
60,29.2080848209032,17.1242776137461,5.35221547435385,5.35221547435385,5.35221547435385,5.35221547435385,6.58969970474297,6.58969970474297
61,15.6953126738506,11.0119181565576,4.69599642431086,4.69599642431086,4.69599642431086,4.69599642431086,6.40493855118355,6.40493855118355
62,25.3032772233265,16.7276364906347,1.64307072118164,1.64307072118164,1.64307072118164,1.64307072118164,4.92968458218824,4.92968458218824
63,22.4696499184762,15.5592998369525,0.566149103238511,0.566149103238511,0.566149103238511,0.566149103238511,6.8175494293336,6.8175494293336
64,15.07,13.1,1.28,1.28,1.28,1.28,5.28,5.28
65,18.74,14.36,1.38,1.38,1.38,1.38,4.1,4.1
66,13.23,10.04,8.39,8.39,8.39,8.39,7.01,7.01
67,24.4577107296026,16.1088206882701,5.21073532826288,5.21073532826288,5.21073532826288,5.21073532826288,7.67705512639451,7.67705512639451
68,13.1082778548287,10.0829607571193,8.49024176661168,8.49024176661168,8.49024176661168,8.49024176661168,7.18184302847717,7.18184302847717
69,25.0694627445228,17.3015471871526,11.8866003517083,11.8866003517083,11.8866003517083,11.8866003517083,8.88579629950997,8.88579629950997
70,10.94,12.28,1.39,1.39,1.39,1.39,4.19,4.19
71,21.597437652249,15.9361962555041,1.23620106545384,1.23620106545384,1.23620106545384,1.23620106545384,5.12614745219896,5.12614745219896
72,27.7229707316642,15.6339904660269,8.62040690066092,8.62040690066092,8.62040690066092,8.62040690066092,6.83202520838166,6.83202520838166
73,36.2102054356916,19.7366834796532,5.38677685527236,5.38677685527236,5.38677685527236,5.38677685527236,7.1281475687138,7.1281475687138
74,26.4429146400222,17.4234609063761,3.75604913176544,3.75604913176544,3.75604913176544,3.75604913176544,6.00203336341948,6.00203336341948
75,27.8813798544269,17.4349109372596,5.29969726908923,5.29969726908923,5.29969726908923,5.29969726908923,7.47056799778599,7.47056799778599
76,9.30113807391837,10.0156736622988,4.35267294998906,4.35267294998906,4.35267294998906,4.35267294998906,7.69563010067419,7.69563010067419
77,25.1671568090039,17.1946888056099,1.23402561096947,1.23402561096947,1.23402561096947,1.23402561096947,5.43980138645623,5.43980138645623
78,21.01,15.98,1.78,1.78,1.78,1.78,5.15,5.15
79,17.2626137230567,7.30056797953428,0.00420457435224602,0.00420457435224602,0.00420457435224602,0.00420457435224602,5.9309097844539,5.9309097844539
80,19.03,14.47,5.79,5.79,5.79,5.79,6.87,6.87
81,19.3395487077852,14.558325148357,5.14974322000104,5.14974322000104,5.14974322000104,5.14974322000104,6.79942031778575,6.79942031778575
82,7.73,6.76,4.86,4.86,4.86,4.86,6.51,6.51
83,33.3655805070632,18.7703366449771,1.77937850671851,1.77937850671851,1.77937850671851,1.77937850671851,5.27372895968893,5.27372895968893
84,22.47,15.56,0.57,0.57,0.57,0.57,6.82,6.82
85,12.62,13.3,1.38,1.38,1.38,1.38,4,4
86,18.7757400832817,14.6656475069629,3.91793222787042,3.91793222787042,3.91793222787042,3.91793222787042,6.12972227104344,6.12972227104344
87,9.5,8.1,3.27,3.27,3.27,3.27,7.69,7.69
88,24.5989895046167,16.4853456498833,8.17301673938341,8.17301673938341,8.17301673938341,8.17301673938341,8.38478966071668,8.38478966071668
89,19.5306702385811,12.9883891658485,9.29472310119685,9.29472310119685,9.29472310119685,9.29472310119685,7.70587082368907,7.70587082368907
90,23.8633825636307,14.0621665681345,0.889336793479078,0.889336793479078,0.889336793479078,0.889336793479078,5.92274130036958,5.92274130036958
91,39.0139841996187,18.2746551390357,17.0223578907704,17.0223578907704,17.0223578907704,17.0223578907704,11.0085544391471,11.0085544391471
92,21.79,13.57,0.46,0.46,0.46,0.46,6.75,6.75
93,21.6936136739763,15.0706487734091,3.99559600812852,3.99559600812852,3.99559600812852,3.99559600812852,6.08766314898129,6.08766314898129
94,5.13428031820692,23.175145822442,13.3647212010633,13.3647212010633,13.3647212010633,13.3647212010633,4.58197853522724,4.58197853522724
95,28.47,17.87,1.77,1.77,1.77,1.77,5.33,5.33
96,33.69,18.83,1.78,1.78,1.78,1.78,5.27,5.27
97,16.8749098588728,18.9155562310333,3.29350677239884,3.29350677239884,3.29350677239884,3.29350677239884,7.1229799886701,7.1229799886701
98,32.0787060744537,18.4678400877124,1.78,1.78,1.78,1.78,5.25475116158789,5.25475116158789
99,29.9902458957225,18.183701534038,1.77482617744674,1.77482617744674,1.77482617744674,1.77482617744674,5.13212672468374,5.13212672468374
100,22.4565385678092,15.5298223560958,0.46,0.46,0.46,0.46,6.75,6.75
101,24.6315748989093,16.5274200433139,1.78335871226046,1.78335871226046,1.78335871226046,1.78335871226046,4.90961931609317,4.90961931609317
102,33.4187132797402,18.7060803313462,2.01660737967842,2.01660737967842,2.01660737967842,2.01660737967842,5.51912293706236,5.51912293706236
103,9.67585796997778,7.69428068333993,4.89024649694266,4.89024649694266,4.89024649694266,4.89024649694266,6.51336072188252,6.51336072188252
104,31.1892150120744,18.4311078596344,1.77863242860976,1.77863242860976,1.77863242860976,1.77863242860976,4.97607042699984,4.97607042699984
105,20.9173033482726,13.5966847119296,6.96588254741065,6.96588254741065,6.96588254741065,6.96588254741065,6.94230238075208,6.94230238075208
106,13.4023977121843,9.54356370569139,4.94762419620574,4.94762419620574,4.94762419620574,4.94762419620574,6.52356370569138,6.52356370569138
107,13.89,13.1,1.77,1.77,1.77,1.77,5.31,5.31
108,23.5768801721987,14.1053747166562,8.70102912538535,8.70102912538535,8.70102912538535,8.70102912538535,6.90305412146054,6.90305412146054
109,26.2833245024831,16.0872669637196,1.98782492350387,1.98782492350387,1.98782492350387,1.98782492350387,7.79061570795372,7.79061570795372
110,26.7386711726972,16.9233799936592,7.41329098394733,7.41329098394733,7.41329098394733,7.41329098394733,7.19784262566142,7.19784262566142
111,33.7684655716899,18.790767214155,1.77019180353876,1.77019180353876,1.77019180353876,1.77019180353876,5.36808196461242,5.36808196461242
112,21.79,13.57,0.46,0.46,0.46,0.46,6.75,6.75
113,17.2736291233696,7.33787637445653,0,0,0,0,5.680348885326,5.680348885326
114,15.07,13.1,1.28,1.28,1.28,1.28,5.28,5.28
115,24.4807675222057,16.1393495895871,5.17721758346027,5.17721758346027,5.17721758346027,5.17721758346027,7.62837967534358,7.62837967534358
