# ID,farmer_ID,land_use,yield
0,822,1,10
1,98,1,10
2,98,1,10
3,822,1,10
4,98,1,10
5,98,1,10
6,98,1,10
7,98,1,10
8,98,1,10
9,98,1,10
10,98,1,10
11,82,1,10
12,98,1,10
13,98,1,10
14,822,1,10
15,822,1,10
16,98,1,10
17,98,1,10
18,98,1,10
19,98,1,10
20,98,1,10
21,98,1,10
22,98,1,10
23,98,1,10
24,559,1,10
25,82,1,10
26,82,1,10
27,98,1,10
28,82,1,10
29,98,1,10
30,82,1,10
31,98,1,10
32,98,1,10
33,82,1,10
34,98,1,10
35,98,1,10
36,98,1,10
37,559,1,10
38,98,1,10
39,82,1,10
40,98,1,10
41,98,1,10
42,98,1,10
43,559,1,10
44,559,1,10
45,82,1,10
46,98,1,10
47,98,1,10
48,98,1,10
49,98,1,10
50,98,1,10
51,98,1,10
52,98,1,10
53,98,1,10
54,82,1,10
55,82,1,10
56,98,1,10
57,559,1,10
58,559,1,10
59,82,1,10
60,559,1,10
61,559,1,10
62,559,1,10
63,82,1,10
64,98,1,10
65,82,1,10
66,82,1,10
67,152,1,10
68,82,1,10
69,98,1,10
70,98,1,10
71,98,1,10
72,98,1,10
73,98,1,10
74,98,1,10
75,82,1,10
76,98,1,10
77,98,1,10
78,559,1,10
79,82,1,10
80,82,1,10
81,98,1,10
82,559,1,10
83,531,1,10
84,559,1,10
85,98,1,10
86,152,1,10
87,98,1,10
88,98,1,10
89,152,1,10
90,98,1,10
91,98,1,10
92,152,1,10
93,559,1,10
94,152,1,10
95,82,1,10
96,82,1,10
97,98,1,10
98,531,1,10
99,98,1,10
100,531,1,10
101,559,1,10
102,82,1,10
103,559,1,10
104,152,1,10
105,559,1,10
106,559,1,10
107,82,1,10
108,98,1,10
109,559,1,10
110,531,1,10
111,98,1,10
112,554,1,10
113,554,1,10
114,531,1,10
115,559,1,10
116,559,1,10
117,98,1,10
118,98,1,10
119,531,1,10
120,82,1,10
121,98,1,10
122,559,1,10
123,82,1,10
124,82,1,10
125,98,1,10
126,559,1,10
127,98,1,10
128,554,1,10
129,531,1,10
130,531,1,10
131,152,1,10
132,152,1,10
133,531,1,10
134,152,1,10
135,98,1,10
136,82,1,10
137,152,1,10
138,82,1,10
139,82,1,10
140,82,1,10
141,82,1,10
142,82,1,10
143,152,1,10
144,82,1,10
145,531,1,10
146,559,1,10
147,559,1,10
148,82,1,10
149,152,1,10
150,82,1,10
151,559,1,10
152,559,1,10
153,152,1,10
154,559,1,10
155,98,1,10
156,559,1,10
157,98,1,10
158,98,1,10
159,531,1,10
160,98,1,10
161,554,1,10
162,152,1,10
163,554,1,10
164,152,1,10
165,82,1,10
166,559,1,10
167,82,1,10
168,82,1,10
169,82,1,10
170,531,1,10
171,98,1,10
172,82,1,10
173,554,1,10
174,82,1,10
175,98,1,10
176,559,1,10
177,559,1,10
178,82,1,10
179,531,1,10
180,531,1,10
181,531,1,10
182,82,1,10
183,82,1,10
184,554,1,10
185,82,1,10
186,554,1,10
187,531,1,10
188,531,1,10
189,559,1,10
190,98,1,10
191,98,1,10
192,531,1,10
193,152,1,10
194,559,1,10
195,98,1,10
196,559,1,10
197,82,1,10
198,82,1,10
199,531,1,10
200,82,1,10
201,531,1,10
202,82,1,10
203,98,1,10
204,98,1,10
205,554,1,10
206,531,1,10
207,559,1,10
208,82,1,10
209,531,1,10
210,531,1,10
211,559,1,10
212,559,1,10
213,98,1,10
214,531,1,10
215,531,1,10
216,559,1,10
217,98,1,10
218,531,1,10
219,82,1,10
220,554,1,10
221,82,1,10
222,82,1,10
223,98,1,10
224,98,1,10
225,531,1,10
226,53,1,10
227,98,1,10
228,82,1,10
229,559,1,10
230,53,1,10
231,531,1,10
232,82,1,10
233,98,1,10
234,559,1,10
235,98,1,10
236,554,1,10
237,531,1,10
238,531,1,10
239,531,1,10
240,531,1,10
241,531,1,10
242,531,1,10
243,531,1,10
244,531,1,10
245,531,1,10
246,559,1,10
247,559,1,10
248,559,1,10
249,53,1,10
250,82,1,10
251,53,1,10
252,98,1,10
253,98,1,10
254,559,1,10
255,53,1,10
256,53,1,10
257,559,1,10
258,98,1,10
259,53,1,10
260,559,1,10
261,98,1,10
262,501,1,10
263,531,1,10
264,531,1,10
265,531,1,10
266,531,1,10
267,559,1,10
268,559,1,10
269,531,1,10
270,531,1,10
271,82,1,10
272,559,1,10
273,53,1,10
274,53,1,10
275,82,1,10
276,531,1,10
277,531,1,10
278,531,1,10
279,24,1,10
280,531,1,10
281,772,1,10
282,559,1,10
283,531,1,10
284,772,1,10
285,53,1,10
286,24,1,10
287,531,1,10
288,501,1,10
289,531,1,10
290,98,1,10
291,24,1,10
292,772,1,10
293,53,1,10
294,772,1,10
295,53,1,10
296,531,1,10
297,53,1,10
298,53,1,10
299,501,1,10
300,531,1,10
301,531,1,10
302,531,1,10
303,53,1,10
304,24,1,10
305,24,1,10
306,53,1,10
307,531,1,10
308,53,1,10
309,501,1,10
310,531,1,10
311,772,1,10
312,24,1,10
313,531,1,10
314,280,1,10
315,772,1,10
316,53,1,10
317,53,1,10
318,53,1,10
319,53,1,10
320,24,1,10
321,772,1,10
322,53,1,10
323,24,1,10
324,24,1,10
325,531,1,10
326,772,1,10
327,501,1,10
328,531,1,10
329,53,1,10
330,280,1,10
331,531,1,10
332,531,1,10
333,501,1,10
334,501,1,10
335,772,1,10
336,53,1,10
337,531,1,10
338,53,1,10
339,53,1,10
340,53,1,10
341,531,1,10
342,24,1,10
343,531,1,10
344,53,1,10
345,53,1,10
346,531,1,10
347,53,1,10
348,53,1,10
349,53,1,10
350,53,1,10
351,53,1,10
352,53,1,10
353,53,1,10
354,53,1,10
355,53,1,10
356,24,1,10
357,772,1,10
358,53,1,10
359,531,1,10
360,531,1,10
361,53,1,10
362,53,1,10
363,531,1,10
364,53,1,10
365,531,1,10
366,531,1,10
367,53,1,10
368,53,1,10
369,233,1,10
370,53,1,10
371,557,1,10
372,568,1,10
373,531,1,10
