patch_ID,corn,soy,mis,swi,sorghum,cane,fallow,CRP
1,3054.4842214694,3094.01338343781,1924.24619526608,1924.24619526608,1924.24619526608,1924.24619526608,6773.82788987304,6773.82788987304
2,2228.10871268301,2202.63197789473,1077.22755224755,1077.22755224755,1077.22755224755,1077.22755224755,5792.13298798902,5792.13298798902
3,2246.57,2269.97,1070.62,1070.62,1070.62,1070.62,6000.51,6000.51
4,3491.35,3279.8,1718.51,1718.51,1718.51,1718.51,6161.06,6161.06
5,3199.4,3191.4,1059.3,1059.3,1059.3,1059.3,5390.71,5390.71
6,3255.86,3169.37,1240.57,1240.57,1240.57,1240.57,6185.99,6185.99
7,4330.41421368539,4043.28341168183,1935.62571585874,1935.62571585874,1935.62571585874,1935.62571585874,6395.84263940062,6395.84263940062
8,3237.02217553278,3158.88955963931,1732.7809114616,1732.7809114616,1732.7809114616,1732.7809114616,6200.41902965932,6200.41902965932
9,2161.62621606885,2147.45365534509,1249.77194883995,1249.77194883995,1249.77194883995,1249.77194883995,6267.19059705208,6267.19059705208
10,2602.22143881569,2614.90479614929,1816.15166541752,1816.15166541752,1816.15166541752,1816.15166541752,6704.56125323087,6704.56125323087
11,3020.00346219175,2971.88419224608,1726.0986489363,1726.0986489363,1726.0986489363,1726.0986489363,6305.8158269262,6305.8158269262
12,3277.77,3340.59,1849.91,1849.91,1849.91,1849.91,6423.96,6423.96
13,2388.19501313762,2359.81226734876,1268.56558011069,1268.56558011069,1268.56558011069,1268.56558011069,6095.55044983189,6095.55044983189
14,2365.33,2302.5,1346.66,1346.66,1346.66,1346.66,6144.92,6144.92
15,2149.94,2174.64,1070.4,1070.4,1070.4,1070.4,5998.73,5998.73
16,3285.84605459227,3347.59717726927,1856.79809962385,1856.79809962385,1856.79809962385,1856.79809962385,6419.97618227573,6419.97618227573
17,2635.29,2598.53,1235.27,1235.27,1235.27,1235.27,6182.39,6182.39
18,3902.0480938257,3639.83336205676,1909.72644994327,1909.72644994327,1909.72644994327,1909.72644994327,6363.78757986393,6363.78757986393
19,2603.30466804385,2550.96230032765,841.260527923266,841.260527923266,841.260527923266,841.260527923266,5758.1373959458,5758.1373959458
