patch_ID,corn,soy,mis,swi,sorghum,cane,fallow,CRP
1,1548.49104958597,1519.71030988816,1037.22318205899,1037.22318205899,1037.22318205899,1037.22318205899,3953.47572579262,3953.47572579262
2,2397.0680572947,2228.47438335333,2201.06518197838,2201.06518197838,2201.06518197838,2201.06518197838,5918.6245664049,5918.6245664049
3,2428.41,2523.54,2407.29,2407.29,2407.29,2407.29,6139.75,6139.75
4,2589.59,2217.48,1389.52,1389.52,1389.52,1389.52,4690.67,4690.67
5,3060.44,2786.62,1487.76,1487.76,1487.76,1487.76,4966.88,4966.88
6,3731.4,3326.34,3178.34,3178.34,3178.34,3178.34,7240.71,7240.71
7,4876.70450817559,4523.35041669074,1763.58961303162,1763.58961303162,1763.58961303162,1763.58961303162,4984.9998293659,4984.9998293659
8,2383.03234515858,2033.19500428409,1411.13321079805,1411.13321079805,1411.13321079805,1411.13321079805,4715.38745091809,4715.38745091809
9,2686.77158988557,2447.22999375175,3202.54218057908,3202.54218057908,3202.54218057908,3202.54218057908,7456.42161066373,7456.42161066373
10,1900.43368647403,1812.92153632027,1310.18307755435,1310.18307755435,1310.18307755435,1310.18307755435,4474.07584286219,4474.07584286219
11,2263.59081939517,2014.7227930464,1301.36855904677,1301.36855904677,1301.36855904677,1301.36855904677,4659.36910575842,4659.36910575842
12,1822.48,1750.61,1776.88,1776.88,1776.88,1776.88,5042.75,5042.75
13,2482.8878983195,2304.96258630883,2151.8373030054,2151.8373030054,2151.8373030054,2151.8373030054,5736.45786115097,5736.45786115097
14,2368.88,2101.92,1444.41,1444.41,1444.41,1444.41,4787.94,4787.94
15,2397.98,2439.69,2419.18,2419.18,2419.18,2419.18,6152.82,6152.82
16,1824.8188694595,1751.5702166719,1777.51477939635,1777.51477939635,1777.51477939635,1777.51477939635,5060.14822068878,5060.14822068878
17,3562.39,3144.96,3171.14,3171.14,3171.14,3171.14,7237.64,7237.64
18,3597.18678461148,3225.23801972363,1714.13720078695,1714.13720078695,1714.13720078695,1714.13720078695,4945.1966320291,4945.1966320291
19,2667.87771910171,2267.17389597747,929.687169408648,929.687169408648,929.687169408648,929.687169408648,5153.2596329598,5153.2596329598
20,2839.78396132114,2654.97642187398,1564.56391601338,1564.56391601338,1564.56391601338,1564.56391601338,4958.06851097365,4958.06851097365
21,1752.14,1629.03,2366.07,2366.07,2366.07,2366.07,5910.3,5910.3
22,2789.81643738869,2574.64516281429,916.93963361576,916.93963361576,916.93963361576,916.93963361576,5018.94975150366,5018.94975150366
23,2169.99,2027.37,1164.79,1164.79,1164.79,1164.79,4483.63,4483.63
24,2498.56,2316.75,2523.49,2523.49,2523.49,2523.49,6190.64,6190.64
25,2084.85345145926,1959.24610643945,1681.62659282543,1681.62659282543,1681.62659282543,1681.62659282543,5008.48676948399,5008.48676948399
26,2701.48954728991,2520.28622045946,1085.64095952266,1085.64095952266,1085.64095952266,1085.64095952266,4157.14917491612,4157.14917491612
27,2429.74,2524.47,2408.22,2408.22,2408.22,2408.22,6108.18,6108.18
28,2428.53359668221,2523.62642474771,2407.37642474771,2407.37642474771,2407.37642474771,2407.37642474771,6136.81620506961,6136.81620506961
29,2333.35860101793,2091.1512255978,1272.81983084348,1272.81983084348,1272.81983084348,1272.81983084348,4371.89677302348,4371.89677302348
30,3591.17,3272.44,2512.07,2512.07,2512.07,2512.07,5886.21,5886.21
31,2989.65,2819.95,1588.41,1588.41,1588.41,1588.41,4950.04,4950.04
32,3681.97,3318.68,1770.22,1770.22,1770.22,1770.22,4986.7,4986.7
33,2776.26292300269,2624.63292857488,1188.72223757384,1188.72223757384,1188.72223757384,1188.72223757384,4231.37620282167,4231.37620282167
34,2478.39523855729,2341.39760162823,2502.57743024369,2502.57743024369,2502.57743024369,2502.57743024369,6183.05766476672,6183.05766476672
35,1821.75679796597,1748.18027425219,1778.92817051361,1778.92817051361,1778.92817051361,1778.92817051361,5040.81032264119,5040.81032264119
36,2429.39186008662,2524.22656381997,2407.97656381997,2407.97656381997,2407.97656381997,2407.97656381997,6116.44374215441,6116.44374215441
37,2486.58001067427,2279.01945269132,1006.44554777078,1006.44554777078,1006.44554777078,1006.44554777078,3958.26719312658,3958.26719312658
38,2533.34324844952,2422.12944764665,1431.39150523461,1431.39150523461,1431.39150523461,1431.39150523461,4819.77420818585,4819.77420818585
39,3328.05,3073.08,1497.71,1497.71,1497.71,1497.71,4971.69,4971.69
40,2929.65,2694.63,1505.56,1505.56,1505.56,1505.56,4973.3,4973.3
41,2400.89072794191,2436.13218638717,2422.1986720185,2422.1986720185,2422.1986720185,2422.1986720185,6153.91448926986,6153.91448926986
42,3060.44,2786.62,1487.76,1487.76,1487.76,1487.76,4966.88,4966.88
43,3001.497036697,2825.57401245151,2590.5160373529,2590.5160373529,2590.5160373529,2590.5160373529,5813.09060582032,5813.09060582032
44,2695.60242260157,2316.70072460157,1098.00004618708,1098.00004618708,1098.00004618708,1098.00004618708,4944.41133059488,4944.41133059488
45,2416.01769626127,2489.39295207056,2412.13207990317,2412.13207990317,2412.13207990317,2412.13207990317,6145.07262273629,6145.07262273629
46,1847.29287177327,1721.62167540645,1774.8772528237,1774.8772528237,1774.8772528237,1774.8772528237,5018.23528881328,5018.23528881328
