year,corn,cellulosic
0,1,1
1,0.9934853,0.9934853
2,0.987334218,0.987334218
3,0.981703015,0.981703015
4,0.976516254,0.976516254
5,0.971682324,0.971682324
6,0.967179246,0.967179246
7,0.962972574,0.962972574
8,0.959025028,0.959025028
9,0.955301254,0.955301254
10,0.951762389,0.951762389
11,0.948424497,0.948424497
12,0.945249184,0.945249184
13,0.942212651,0.942212651
14,0.939305257,0.939305257
15,0.936538841,0.936538841
16,0.933908081,0.933908081
17,0.93140139,0.93140139
18,0.929006155,0.929006155
19,0.926717222,0.926717222
20,0.924519081,0.924519081
21,0.922400053,0.922400053
22,0.92036187,0.92036187
23,0.918390823,0.918390823
24,0.916487698,0.916487698
25,0.914640217,0.914640217
26,0.914640217,0.914640217
27,0.914640217,0.914640217
28,0.914640217,0.914640217
29,0.914640217,0.914640217
30,0.914640217,0.914640217
