kg/ha,contcorn,cornsoy,miscanthus,switchgrass,sorghum,cane,fallow,CRP
0,200.97037308087693,172.9788379149121,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
1,201.0,173.0,34.0,94.0,34.0,34.0,0,0
2,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
3,201.0,173.0,34.0,94.0,34.0,34.0,0,0
4,201.0,173.0,34.0,94.0,34.0,34.0,0,0
5,201.0,173.0,34.0,94.0,34.0,34.0,0,0
6,201.0,173.0,34.0,94.0,34.0,34.0,0,0
7,201.0,173.0,34.0,94.0,34.0,34.0,0,0
8,201.0,173.0,34.0,94.0,34.0,34.0,0,0
9,201.0,173.0,34.0,94.0,34.0,34.0,0,0
10,201.0,173.0,33.99999999999999,94.00000000000004,33.99999999999999,33.99999999999999,0,0
11,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
12,201.0,172.99999999999991,34.0,93.99999999999996,34.0,34.0,0,0
13,201.0,173.0,34.0,94.0,34.0,34.0,0,0
14,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
15,201.0,173.0,34.0,94.0,34.0,34.0,0,0
16,201.0,173.0,34.0,94.0,34.0,34.0,0,0
17,201.0,173.0,34.0,94.0,34.0,34.0,0,0
18,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
19,201.0,173.0,34.0,94.0,34.0,34.0,0,0
20,201.0,173.0,34.0,94.0,34.0,34.0,0,0
21,201.0,173.0,34.0,94.0,34.0,34.0,0,0
22,201.0,173.0,34.0,94.0,34.0,34.0,0,0
23,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
24,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
25,201.00000000000009,172.99999999999991,34.0,94.0,34.0,34.0,0,0
26,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
27,201.0,173.0,34.0,94.0,34.0,34.0,0,0
28,201.0,173.0,34.0,94.0,34.0,34.0,0,0
29,201.00000000000009,173.0,34.0,94.0,34.0,34.0,0,0
30,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
31,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
32,201.0,173.0,34.0,94.0,34.0,34.0,0,0
33,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
34,201.0,173.0,34.0,94.0,34.0,34.0,0,0
35,201.0,173.0,34.0,94.0,34.0,34.0,0,0
36,201.0,173.0,34.0,94.0,34.0,34.0,0,0
37,201.00000000000009,173.0,34.0,94.0,34.0,34.0,0,0
38,201.0,173.0,34.0,94.0,34.0,34.0,0,0
39,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
40,201.0,173.0,34.0,94.0,34.0,34.0,0,0
41,201.0,173.0,34.0,94.0,34.0,34.0,0,0
42,201.0,173.0,34.0,94.0,34.0,34.0,0,0
43,201.0,173.00000000000009,34.0,94.00000000000004,34.0,34.0,0,0
44,201.0,173.0,34.0,94.0,34.0,34.0,0,0
45,201.0,173.0,34.0,94.0,34.0,34.0,0,0
46,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
47,201.0,173.0,34.0,94.0,34.0,34.0,0,0
48,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
49,201.0,173.0,34.0,94.0,34.0,34.0,0,0
50,201.0,173.0,34.0,94.0,34.0,34.0,0,0
51,201.0,173.0,34.0,94.0,34.0,34.0,0,0
52,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
53,201.0,173.0,34.0,94.0,34.0,34.0,0,0
54,201.0,173.0,34.0,94.0,34.0,34.0,0,0
55,201.0,173.0,34.0,94.0,34.0,34.0,0,0
56,201.0,173.0,34.0,94.0,34.0,34.0,0,0
57,201.0,173.0,34.0,94.0,34.0,34.0,0,0
58,201.0,173.0,34.0,94.0,34.0,34.0,0,0
59,201.0,173.0,34.0,94.0,34.0,34.0,0,0
60,201.0,173.0,34.0,94.0,34.0,34.0,0,0
61,201.0,173.0,34.0,94.0,34.0,34.0,0,0
62,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
63,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
64,201.0,173.0,33.99999999999999,94.00000000000004,33.99999999999999,33.99999999999999,0,0
65,201.0,173.0,34.0,94.0,34.0,34.0,0,0
66,201.0,173.0,34.0,94.0,34.0,34.0,0,0
67,201.0,173.0,34.0,94.0,34.0,34.0,0,0
68,201.0,173.00000000000009,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
69,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
70,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
71,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
72,201.0,173.0,34.0,94.0,34.0,34.0,0,0
73,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
74,201.0,173.0,34.0,94.0,34.0,34.0,0,0
75,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
76,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
77,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
78,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
79,201.00000000000009,172.99999999999991,34.00000000000001,94.0,34.00000000000001,34.00000000000001,0,0
80,201.0,173.0,34.0,94.0,34.0,34.0,0,0
81,201.0,173.0,34.0,94.0,34.0,34.0,0,0
82,201.0,173.0,34.0,94.0,34.0,34.0,0,0
83,201.0,173.0,34.0,94.0,34.0,34.0,0,0
84,201.0,173.00000000000009,33.99999999999999,94.00000000000004,33.99999999999999,33.99999999999999,0,0
85,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
86,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
87,201.0,173.00000000000009,34.0,94.00000000000004,34.0,34.0,0,0
88,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
89,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
90,201.0,173.0,34.0,94.0,34.0,34.0,0,0
91,201.0,173.0,34.0,94.0,34.0,34.0,0,0
92,201.0,173.0,34.0,94.0,34.0,34.0,0,0
93,201.0,173.0,34.0,94.0,34.0,34.0,0,0
94,201.0,173.0,34.0,94.0,34.0,34.0,0,0
95,201.0,173.0,34.0,94.0,34.0,34.0,0,0
96,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
97,201.0,173.0,34.0,94.0,34.0,34.0,0,0
98,201.0,173.0,34.0,94.0,34.0,34.0,0,0
99,201.0,173.0,34.0,94.0,34.0,34.0,0,0
100,201.0,173.0,34.0,94.0,34.0,34.0,0,0
101,201.0,173.0,34.0,94.0,34.0,34.0,0,0
102,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
